Data,MSCI China
12/1992,10000
01/1993,9887.999999999998
02/1993,10881.599999999999
03/1993,9716.3
04/1993,9180.599999999999
05/1993,8631.199999999999
06/1993,8230.599999999999
07/1993,7257.199999999999
08/1993,8487.2
09/1993,9058.399999999998
10/1993,9934.5
11/1993,10752.899999999998
12/1993,13369.300000000001
01/1994,11593.399999999996
02/1994,10969.399999999998
03/1994,8967.499999999998
04/1994,8762.499999999998
05/1994,9168.199999999999
06/1994,8172.799999999999
07/1994,9126.999999999998
08/1994,9652
09/1994,9779.199999999999
10/1994,9401.699999999999
11/1994,8176.799999999999
12/1994,7163.499999999999
01/1995,6174.199999999999
02/1995,6881.999999999998
03/1995,6893.199999999999
04/1995,6168.599999999999
05/1995,7269.699999999999
06/1995,7184.699999999999
07/1995,7543.0999999999985
08/1995,7104.3
09/1995,6795.199999999999
10/1995,6374.099999999999
11/1995,5925.199999999999
12/1995,5650.9
01/1996,6516.299999999999
02/1996,6709.499999999999
03/1996,6400.999999999999
04/1996,6062.299999999999
05/1996,6340.499999999999
06/1996,6441.299999999999
07/1996,6216.099999999999
08/1996,6195.999999999999
09/1996,6124.299999999999
10/1996,5973.899999999999
11/1996,6663.699999999999
12/1996,7767.899999999999
01/1997,7595.399999999998
02/1997,7818.999999999999
03/1997,7593
04/1997,8595.999999999998
05/1997,8498.999999999998
06/1997,8689.099999999999
07/1997,9879
08/1997,10461.699999999999
09/1997,8722.099999999999
10/1997,7305.5999999999985
11/1997,5983.199999999999
12/1997,5806.199999999999
01/1998,4329.3
02/1998,5865.499999999999
03/1998,5714.099999999999
04/1998,5125.5999999999985
05/1998,4452.899999999999
06/1998,3758.5999999999995
07/1998,3078.5999999999995
08/1998,2244.7
09/1998,3214.5999999999995
10/1998,3534.6999999999994
11/1998,3646.9999999999995
12/1998,3346.2999999999997
01/1999,2724.2999999999997
02/1999,2608.8999999999996
03/1999,2963.3999999999996
04/1999,3707.5999999999995
05/1999,3716.4999999999995
06/1999,5457.199999999999
07/1999,4775.599999999999
08/1999,4737.499999999999
09/1999,4547.999999999999
10/1999,4180.799999999999
11/1999,4101.099999999999
12/1999,3792.4999999999995
01/2000,3627
02/2000,2961.1999999999994
03/2000,3028.9999999999995
04/2000,3314.8999999999996
05/2000,3374.0999999999995
06/2000,3824.8999999999996
07/2000,3752.4999999999995
08/2000,3599.7999999999993
09/2000,3161.8999999999996
10/2000,3014.3999999999996
11/2000,2612.9999999999995
12/2000,2634.3999999999996
01/2001,3016.3999999999996
02/2001,2741.2
03/2001,2296.5999999999995
04/2001,2529.7
05/2001,2598.6999999999994
06/2001,2684.3999999999996
07/2001,2320.7999999999993
08/2001,1818.4999999999998
09/2001,1756.5999999999997
10/2001,1801.3999999999996
11/2001,1976.9999999999998
12/2001,1983.5999999999995
01/2002,1797.4999999999998
02/2002,1811.9999999999998
03/2002,1914.1999999999998
04/2002,1997.8999999999996
05/2002,2028.4999999999998
06/2002,1960.3
07/2002,1874.6999999999998
08/2002,1838.1999999999998
09/2002,1691.7999999999997
10/2002,1701.4999999999998
11/2002,1771.8999999999996
12/2002,1704.9999999999998
01/2003,1786.4999999999995
02/2003,1741.9999999999995
03/2003,1674.8999999999999
04/2003,1677.0999999999997
05/2003,1891.4
06/2003,2012.5999999999997
07/2003,2212.1
08/2003,2359.2999999999997
09/2003,2377.5999999999995
10/2003,2738.8999999999996
11/2003,2766.3999999999996
12/2003,3197.9999999999995
01/2004,3177.4
02/2004,3375.1999999999994
03/2004,3090.7999999999997
04/2004,2686.9999999999995
05/2004,2871.4999999999995
06/2004,2853.9
07/2004,2864.4999999999995
08/2004,2876.2999999999997
09/2004,3089.4999999999995
10/2004,3014.1999999999994
11/2004,3317.5999999999995
12/2004,3258.4
