Data,Gold spot price
12/1978,10000
01/1979,10340.70796460177
02/1979,11119.469026548673
03/1979,10623.893805309735
04/1979,10853.982300884958
05/1979,12150.442477876106
06/1979,12278.761061946903
07/1979,13117.256637168142
08/1979,13942.477876106195
09/1979,17577.433628318588
10/1979,16902.65486725664
11/1979,18391.59292035398
12/1979,23185.840707964602
01/1980,28893.805309734515
02/1980,28185.840707964602
03/1980,21880.530973451332
04/1980,22920.353982300883
05/1980,23694.690265486726
06/1980,28915.929203539825
07/1980,27179.203539823007
08/1980,27931.41592920354
09/1980,29502.21238938053
10/1980,27831.858407079646
11/1980,27422.566371681416
12/1980,26084.070796460175
01/1981,22411.504424778763
02/1981,21637.16814159292
03/1981,22732.300884955752
04/1981,21360.619469026547
05/1981,21205.75221238938
06/1981,18849.557522123894
07/1981,17964.601769911504
08/1981,18805.309734513274
09/1981,18971.2389380531
10/1981,18893.805309734515
11/1981,18340.70796460177
12/1981,17699.115044247785
01/1982,17123.893805309734
02/1982,16044.247787610619
03/1982,14159.29203539823
04/1982,15984.513274336283
05/1982,14391.592920353982
06/1982,14048.67256637168
07/1982,15172.566371681416
08/1982,18207.964601769912
09/1982,17566.37168141593
10/1982,18727.87610619469
11/1982,19292.035398230088
12/1982,19823.008849557522
01/1983,22101.76991150443
02/1983,18075.221238938055
03/1983,18351.769911504423
04/1983,18993.36283185841
05/1983,19358.40707964602
06/1983,18407.0796460177
07/1983,18672.566371681416
08/1983,18329.646017699117
09/1983,17920.353982300883
10/1983,16902.65486725664
11/1983,17920.353982300883
12/1983,16880.53097345133
01/1984,16537.610619469026
02/1984,17444.690265486726
03/1984,17190.265486725664
04/1984,16628.318584070796
05/1984,17002.21238938053
06/1984,16506.63716814159
07/1984,15148.230088495575
08/1984,15409.29203539823
09/1984,15210.176991150442
10/1984,14756.637168141593
11/1984,14557.522123893805
12/1984,13641.592920353982
01/1985,13568.58407079646
02/1985,12732.300884955752
03/1985,14568.58407079646
04/1985,14219.026548672566
05/1985,13893.805309734513
06/1985,14059.734513274336
07/1985,14491.150442477876
08/1985,14745.575221238938
09/1985,14413.716814159292
10/1985,14384.955752212389
11/1985,14393.805309734513
12/1985,14469.026548672566
01/1986,15508.849557522124
02/1986,14962.389380530973
03/1986,15221.238938053097
04/1986,15298.67256637168
