Data,MSCI Japan
12/1978,10000
01/1979,9965.319021973972
02/1979,9581.172007549754
03/1979,9239.749563681871
04/1979,8952.72425255384
05/1979,9088.062373383566
06/1979,9147.62237016613
07/1979,9120.648276145883
08/1979,9154.375246685759
09/1979,9327.630488582776
10/1979,8603.856809088138
11/1979,8258.431274984241
12/1979,8779.09489007402
01/1980,8952.892606816104
02/1980,8602.80927145628
03/1980,8360.02371924495
04/1980,9040.193644813658
05/1980,9576.757384672654
06/1980,9948.633243980868
07/1980,9452.998295880745
08/1980,10079.668978108335
09/1980,10741.151580565933
10/1980,11000.267496216704
11/1980,10645.33929930956
12/1980,11390.363027907526
01/1981,11613.039598793088
02/1981,11445.152987259324
03/1981,12128.278465432193
04/1981,13008.846081180423
05/1981,12672.586501355252
06/1981,13117.43458033959
07/1981,12632.667835169954
08/1981,13120.390132943749
09/1981,11878.81486081779
10/1981,11865.402637924231
11/1981,12943.95486609289
12/1981,13151.442141316567
01/1982,12929.158397042951
02/1982,11897.932422599128
03/1982,10753.235675390535
04/1982,11708.477759466654
05/1982,11258.03657776938
06/1982,10577.548649705286
07/1982,10182.383784117459
08/1982,10238.483165509075
09/1982,9845.357257097538
10/1982,9880.861300405733
11/1982,11709.618827244209
12/1982,13037.821720318676
01/1983,12496.338294795796
02/1983,12700.308836541106
03/1983,13207.560228737324
04/1983,13485.269937353509
05/1983,13513.946280025515
06/1983,13941.266809705436
07/1983,14053.820987042334
08/1983,13878.003019153104
09/1983,14970.809241526638
10/1983,14895.274295858299
11/1983,15076.741484547883
12/1983,16236.141170660716
01/1984,16993.73535084093
02/1984,16940.610228082613
03/1984,19994.986784190412
04/1984,19556.386518938918
05/1984,17150.08034239516
06/1984,17227.990953764307
07/1984,16009.21833116032
08/1984,17379.54720185863
09/1984,17302.88989444188
10/1984,18153.88327811937
11/1984,18274.61199019056
12/1984,18971.897932422595
01/1985,18873.971869873378
02/1985,19490.111057695005
03/1985,20599.397291741105
04/1985,19893.41304595885
05/1985,20585.33035782763
06/1985,21512.288925843688
07/1985,21618.707525622583
08/1985,22136.359470020783
09/1985,24483.423652277364
10/1985,25253.831462418653
11/1985,25628.662874331025
12/1985,27142.52310662249
01/1986,27891.849221922716
02/1986,31250.36710582188
03/1986,37953.82229646437
04/1986,39396.39385170234
05/1986,39134.939682409036
06/1986,43108.343450177425
07/1986,48806.34957453136
08/1986,53242.29732485078
09/1986,54568.928911477466
10/1986,47288.03730730452
11/1986,50421.78354505441
12/1986,54124.249186755376
01/1987,62828.44513615184
02/1987,63953.63149496714
03/1987,70958.49693314653
04/1987,82120.8521718635
05/1987,81969.65133832286
06/1987,75897.15051058106
07/1987,73238.50000093531
08/1987,82364.74137979413
09/1987,79451.48310752037
10/1987,73488.44996230735
11/1987,76423.16405000495
12/1987,77412.43240108721
01/1988,81580.56593220562
02/1988,87740.79803661519
03/1988,94352.03250359623
04/1988,95333.12631994419
05/1988,91026.17534657594
06/1988,87594.42335859271
07/1988,91609.9343979558
08/1988,84689.28350296585
09/1988,88335.79941150833
10/1988,95706.9101942247
11/1988,104211.62504886951
12/1988,104809.22656181314
01/1989,105118.96099231744
02/1989,107151.12788002702
03/1989,103408.6313359659
04/1989,103240.53895811157
05/1989,97393.03424886875
06/1989,93029.90906999235
07/1989,105370.14555161275
08/1989,98099.26167302983
09/1989,104351.00367199352
10/1989,101615.77067904756
11/1989,106799.47323821942
12/1989,106604.18229399518
01/1990,100191.69938662929
02/1990,89833.0673959524
03/1990,72413.88211834556
04/1990,73327.87740816742
05/1990,83823.19435377217
06/1990,79910.56647468045
07/1990,78832.63154547343
08/1990,71162.33653268786
09/1990,59516.823267307285
10/1990,73946.57932198126
11/1990,65061.40254065287
12/1990,68119.78218699669
01/1991,70056.7915044698
02/1991,78891.91095181888
03/1991,73986.83469669109
04/1991,75829.47209715164
05/1991,75481.20324661842
06/1991,70049.15944458058
07/1991,72214.79385020587
08/1991,68226.05113854246
09/1991,74184.53871867442
10/1991,77389.62975156523
11/1991,71924.00862722064
12/1991,74198.62435861702
01/1992,70760.73679307578
02/1992,64852.26913486486
03/1992,57821.79514279247
04/1992,54262.11262151906
05/1992,58602.82797748542
06/1992,53244.61687246416
07/1992,52635.19314910389
08/1992,61960.07385140305
09/1992,60474.70290149218
10/1992,57666.3106285787
11/1992,59156.1149073958
12/1992,58281.66416317643
01/1993,58091.59220108234
02/1993,60606.56170090182
03/1993,69132.50789862081
04/1993,81420.18043835709
05/1993,83662.71532977794
06/1993,82502.32422412068
07/1993,87727.44193180904
08/1993,89640.78812241973
09/1993,85379.61080235771
10/1993,84990.862104765
11/1993,70885.03835671276
12/1993,73132.94187849686
01/1994,84940.29970799889
02/1994,88823.82100574837
03/1994,85023.9530703141
04/1994,88648.0030378591
05/1994,90588.64132498545
06/1994,95056.351912785
07/1994,91642.48288865984
08/1994,92266.49731474952
09/1994,89988.83250060327
10/1994,92456.30739243566
11/1994,87803.74382467213
12/1994,88811.47502651579
01/1995,83631.86908772566
02/1995,79592.807157675
03/1995,86916.68521681224
04/1995,91158.25861833528
05/1995,85504.52966495631
06/1995,81418.64654396758
07/1995,87898.77045270462
08/1995,84365.1641360527
09/1995,85080.80069287131
10/1995,80322.17393988256
11/1995,85076.36736396508
12/1995,89425.89325965653
01/1996,88250.72439097846
02/1996,86679.51147334298
03/1996,89738.54583070669
04/1996,94840.6713967979
05/1996,89959.78203734846
06/1996,90435.70083073476
07/1996,86385.97646407413
08/1996,82525.03334349694
09/1996,85384.28730964278
10/1996,79655.60329749882
11/1996,81174.98180838666
12/1996,75563.84648336006
01/1997,67339.21700303224
02/1997,68912.18828740691
03/1997,66641.89364874193
04/1997,69058.91837998305
05/1997,76685.96505339636
06/1997,82417.0995553577
07/1997,79906.20796989078
08/1997,72976.09182415584
09/1997,71872.82893149291
10/1997,65177.82886602181
11/1997,61177.43229820403
12/1997,57676.804710926386
01/1998,62822.81462138062
02/1998,63150.114013247614
03/1998,58853.90030060589
04/1998,58615.51066524252
05/1998,55394.03315082484
06/1998,56172.09172688449
07/1998,55432.56757085376
08/1998,49111.44490980889
09/1998,47770.74638926872
10/1998,55781.977489164536
11/1998,58332.50715037964
12/1998,60589.85721687957
01/1999,61029.28054741324
02/1999,59690.04109714603
03/1999,67969.38571270905
04/1999,70806.79103681908
05/1999,66816.49572473705
06/1999,73141.17253131857
07/1999,80443.70701120679
08/1999,79881.85271995017
09/1999,84728.94028474318
10/1999,88361.22090510995
11/1999,92149.95875320575
12/1999,97868.91563019677
01/2000,93630.11072098649
02/2000,91202.70414357253
03/2000,98723.59410161489
04/2000,91299.99420113098
05/2000,86652.91149990553
06/2000,92610.18318814338
07/2000,81945.0903220617
08/2000,87250.43818873262
09/2000,82915.22240533346
10/2000,78106.83761483163
11/2000,74861.64085546411
12/2000,70308.79912904729
01/2001,69472.48997824489
02/2001,66347.72263448233
03/2001,64378.146120276026
04/2001,68751.93373576237
05/2001,68587.09620697849
06/2001,64501.94262112622
07/2001,59695.989614412625
08/2001,58202.59377800059
09/2001,52764.844637074966
10/2001,52656.18131379925
11/2001,53227.51956182998
12/2001,49635.25113779422
01/2002,45749.74700095589
02/2002,47648.50248883718
03/2002,50381.07922564521
04/2002,53314.0162405745
05/2002,56637.404201748264
06/2002,53685.985630028415
07/2002,49956.6394244529
08/2002,49426.173850093626
09/2002,47217.160162892105
10/2002,43930.716609270334
11/2002,45707.28431480751
12/2002,44532.171564216864
01/2003,42727.114576299085
02/2003,42976.97100752543
03/2003,41032.161275900835
04/2003,40711.48381834949
05/2003,42685.54977954945
06/2003,45832.78306430946
07/2003,47692.873189957856
08/2003,52718.528508923715
09/2003,55844.41821443469
10/2003,58400.31650601305
11/2003,56597.42941747555
12/2003,60521.61762257593
01/2004,61616.593744329744
02/2004,61435.631618426945
03/2004,69684.74729089934
04/2004,65906.65317338431
05/2004,63592.49289638543
06/2004,67017.26753549937
07/2004,63044.46236066346
08/2004,63501.13265006444
09/2004,62011.51543153874
10/2004,63630.802844064674
